X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	1	2	1	0	0	0	0	1	1	1	0.18744455836395701
1	1	2	0	2	2	1	1	0	0	1	1	0.21310039401719638
1	2	0	1	1	0	1	2	2	2	1	1	0.2168620204657521
0	2	2	1	2	1	0	0	2	0	0	0	0.3233834422710228
2	2	1	2	2	0	0	1	1	2	1	1	0.3233834422710228
0	0	0	0	2	2	1	1	1	0	1	1	0.3233834422710228
1	2	1	1	2	1	2	0	2	2	1	1	0.3362336298275257
1	0	1	2	1	1	2	0	2	1	0	0	0.34157234607875653
2	2	2	2	0	0	1	2	2	0	0	0	0.34157234607875653
0	2	1	0	0	0	2	1	1	0	1	1	0.3591493441491367
2	2	1	0	1	0	1	0	0	1	1	1	0.37962687976574117
0	0	1	1	1	2	1	0	2	2	0	0	0.37962687976574117
0	1	0	2	0	1	2	0	2	0	0	0	0.37962687976574117
0	2	0	1	0	2	2	1	1	0	1	1	0.37962687976574117
0	0	1	2	1	2	1	2	0	0	0	0	0.37962687976574117
1	0	1	0	0	0	2	0	2	1	0	0	0.37962687976574117
2	2	0	1	0	1	0	1	2	1	1	1	0.37962687976574117
0	0	2	1	0	1	0	2	1	2	1	1	0.37962687976574117
1	2	1	1	2	2	1	1	1	0	1	1	0.37962687976574117
0	1	1	0	1	0	0	0	1	2	1	1	0.37962687976574117
0	0	0	2	2	0	1	2	2	0	0	0	0.37962687976574117
2	2	2	0	2	1	2	1	0	2	0	0	0.393564435474955
1	0	2	0	1	1	0	1	2	0	1	1	0.393564435474955
1	2	2	0	2	0	0	1	2	1	0	0	0.393564435474955
0	0	2	0	1	1	0	1	0	0	0	0	0.393564435474955
2	2	1	2	0	2	2	0	0	2	0	0	0.393564435474955
0	1	1	0	1	0	1	0	2	2	0	0	0.41329482440906673
0	0	1	0	2	1	1	0	0	1	1	1	0.41329482440906673
2	0	1	0	2	0	0	2	0	1	1	1	0.41329482440906673
0	1	1	1	2	2	1	2	1	0	1	1	0.41329482440906673
0	2	0	2	1	2	2	0	0	1	1	1	0.41329482440906673
1	0	2	2	2	2	1	0	0	2	1	1	0.4135509058883289
0	0	0	1	2	0	1	2	2	2	0	0	0.42560580849577656
2	1	1	1	0	1	2	1	2	0	0	0	0.42560580849577656
2	2	1	2	2	1	2	2	1	0	1	1	0.42560580849577656
2	1	2	0	0	0	2	1	1	1	0	0	0.42560580849577656
0	1	2	1	2	2	2	0	1	1	0	0	0.42560580849577656
1	0	0	1	1	2	0	0	1	2	1	1	0.4294077748974895
0	2	1	1	2	0	0	2	2	2	0	0	0.4437568484937651
1	2	2	0	2	0	1	1	1	0	1	1	0.4437568484937651
0	2	1	0	0	0	2	2	0	0	0	0	0.4437568484937651
0	2	1	1	1	1	2	2	0	0	0	0	0.4437568484937651
0	1	2	0	1	2	1	1	2	0	0	0	0.4437568484937651
1	2	0	0	0	1	0	1	0	0	1	1	0.4437568484937651
1	0	0	0	2	2	0	0	2	0	1	1	0.4437568484937651
0	0	1	1	0	2	2	2	0	2	0	0	0.4464903124074094
1	1	2	0	1	1	1	2	0	1	0	0	0.45329127499970884
1	2	2	1	2	2	1	0	1	0	1	1	0.45329127499970884
0	0	0	1	0	2	0	0	2	2	0	0	0.45329127499970884
0	2	0	1	1	1	1	0	0	1	1	1	0.45329127499970884
2	0	1	2	2	0	0	2	1	2	1	1	0.45329127499970884
2	2	0	2	2	2	2	2	0	2	0	0	0.46953666001716254
0	1	2	0	2	0	0	0	0	2	0	0	0.46953666001716254
1	1	2	2	2	2	0	0	2	1	0	0	0.47456071320229454
1	0	1	1	0	0	1	0	0	2	1	1	0.47456071320229454
1	2	0	2	0	1	2	0	0	1	0	0	0.47456071320229454
1	1	1	2	1	0	2	2	0	2	1	1	0.47456071320229454
2	0	1	1	0	1	2	2	0	1	1	1	0.47456071320229454
2	0	1	2	1	0	0	1	0	1	1	1	0.47456071320229454
0	2	1	1	1	2	2	0	0	0	0	0	0.47456071320229454
1	1	0	2	2	1	1	1	0	0	1	1	0.47456071320229454
2	1	0	2	1	2	0	1	0	0	0	0	0.47456071320229454
1	0	0	2	0	1	0	1	1	1	0	0	0.47456071320229454
0	0	2	0	2	0	1	2	0	0	0	0	0.47456071320229454
0	0	1	0	1	0	2	2	2	2	0	0	0.47456071320229454
0	2	0	1	2	0	2	2	2	0	0	0	0.47456071320229454
2	0	0	2	1	0	0	1	1	0	1	1	0.47456071320229454
0	2	0	1	2	1	0	0	0	2	0	0	0.47456071320229454
2	2	0	2	0	1	0	0	1	2	1	1	0.47456071320229454
2	0	0	0	1	1	1	2	2	0	0	0	0.47456071320229454
0	2	1	2	2	0	0	2	2	0	0	0	0.47456071320229454
0	0	0	2	1	2	0	1	1	0	1	1	0.47456071320229454
2	2	2	2	0	1	1	1	1	0	1	1	0.47456071320229454
1	1	0	0	1	0	0	1	0	1	0	0	0.47456071320229454
2	0	2	2	1	1	0	1	0	2	0	0	0.47456071320229454
0	2	0	2	1	2	1	1	0	1	1	1	0.47456071320229454
0	0	2	0	1	1	2	1	1	0	1	1	0.47456071320229454
2	1	1	0	1	1	1	0	0	0	0	0	0.47456071320229454
1	1	1	1	1	2	0	0	1	0	1	1	0.47456071320229454
2	2	2	1	2	0	2	2	0	0	0	0	0.47456071320229454
2	2	1	1	0	1	2	0	0	2	0	0	0.47456071320229454
2	2	1	1	2	2	0	0	0	1	1	1	0.47456071320229454
1	1	0	0	0	1	0	2	1	1	0	0	0.47456071320229454
0	2	2	2	2	1	0	1	0	2	0	0	0.47456071320229454
2	0	0	1	0	2	1	2	0	0	0	0	0.47456071320229454
0	1	2	1	0	0	1	0	0	0	0	0	0.47456071320229454
0	1	1	1	2	1	2	0	0	1	1	1	0.47456071320229454
1	2	2	0	2	0	1	1	2	2	1	1	0.47456071320229454
1	2	0	0	2	1	0	1	0	2	1	1	0.47456071320229454
2	2	2	1	2	2	2	1	1	2	1	1	0.47456071320229454
1	1	2	0	0	2	1	1	2	0	1	1	0.47456071320229454
0	0	0	1	2	2	2	0	0	0	0	0	0.47456071320229454
0	1	2	1	0	1	0	0	1	1	0	0	0.47456071320229454
1	2	0	0	2	2	0	2	2	0	1	1	0.48374918342354056
0	1	0	1	2	1	0	2	2	1	1	1	0.48374918342354056
1	2	1	2	0	2	2	0	1	1	0	0	0.48374918342354056
2	1	2	2	0	0	1	1	0	2	0	0	0.48374918342354056
1	2	0	2	2	1	1	0	2	1	0	0	0.48374918342354056
1	2	2	2	1	2	0	2	1	1	0	0	0.48374918342354056
2	0	2	1	1	1	0	2	2	1	1	1	0.48374918342354056
2	0	2	1	2	0	1	0	1	2	1	1	0.48374918342354056
0	2	0	1	1	2	1	1	1	0	1	1	0.48374918342354056
0	0	1	0	0	1	0	2	1	1	0	0	0.48374918342354056
2	0	2	1	2	2	1	1	2	0	0	0	0.48374918342354056
1	2	0	0	2	2	1	2	1	2	1	1	0.48374918342354056
1	0	0	1	2	2	1	1	2	0	1	1	0.48374918342354056
1	2	1	2	2	0	2	1	2	1	0	0	0.48374918342354056
1	2	2	0	0	2	0	1	0	0	1	1	0.48374918342354056
2	2	1	2	1	2	2	1	2	2	0	0	0.48374918342354056
2	1	2	2	2	0	2	2	0	0	0	0	0.48374918342354056
0	1	0	2	1	1	0	0	1	1	0	0	0.48374918342354056
0	1	2	2	0	0	2	0	2	1	1	1	0.48374918342354056
1	2	2	2	2	1	0	1	0	1	0	0	0.48374918342354056
2	1	1	1	1	0	1	2	2	0	0	0	0.48374918342354056
2	0	2	2	1	0	1	2	2	2	0	0	0.48374918342354056
2	1	2	2	1	2	0	1	1	0	1	1	0.48374918342354056
2	1	0	1	0	0	1	0	2	2	0	0	0.48374918342354056
0	1	1	1	0	0	2	2	2	2	0	0	0.48374918342354056
2	0	1	1	1	1	1	2	1	1	0	0	0.48374918342354056
2	2	2	1	0	1	1	1	2	1	1	1	0.48374918342354056
2	0	2	0	1	0	1	1	1	1	0	0	0.48374918342354056
2	0	0	1	0	2	0	1	0	0	0	0	0.48374918342354056
1	0	2	2	0	1	2	2	2	2	1	1	0.48374918342354056
2	0	2	0	2	1	1	1	2	1	1	1	0.48374918342354056
1	0	2	2	0	1	2	2	1	2	1	1	0.48374918342354056
1	2	2	1	1	0	1	0	0	0	1	1	0.48374918342354056
0	0	0	0	0	1	0	2	1	1	0	0	0.48374918342354056
1	1	2	2	2	0	1	0	2	0	1	1	0.48374918342354056
2	1	0	0	0	1	0	0	2	1	1	1	0.48374918342354056
1	2	0	1	1	1	2	0	2	1	0	0	0.48374918342354056
0	1	1	2	1	0	0	0	1	2	1	1	0.48374918342354056
1	0	0	1	2	0	1	2	2	0	1	1	0.48374918342354056
1	2	1	0	2	2	1	1	0	1	0	0	0.48374918342354056
2	1	2	0	2	2	1	2	2	0	0	0	0.48374918342354056
2	0	2	0	0	2	1	0	2	2	0	0	0.48374918342354056
2	2	1	1	0	2	1	1	1	2	1	1	0.48374918342354056
0	2	2	0	0	1	2	2	0	1	1	1	0.48374918342354056
1	0	1	1	0	1	1	0	0	0	1	1	0.48374918342354056
0	2	2	2	0	0	2	1	1	2	1	1	0.48374918342354056
2	0	1	0	1	0	0	1	2	2	0	0	0.48374918342354056
2	1	1	2	0	2	0	2	2	0	0	0	0.48374918342354056
0	0	1	0	0	0	2	0	1	2	1	1	0.48374918342354056
0	0	0	2	0	1	2	2	1	2	1	1	0.48374918342354056
2	2	2	0	1	1	0	0	1	1	0	0	0.48374918342354056
1	0	1	0	2	2	1	2	2	0	1	1	0.48374918342354056
0	1	1	1	1	2	0	2	1	1	0	0	0.48374918342354056
0	0	0	2	2	0	1	1	2	2	0	0	0.48374918342354056
0	1	2	0	1	1	2	2	2	1	1	1	0.48374918342354056
0	0	2	1	2	1	2	1	0	0	0	0	0.48374918342354056
1	2	1	2	1	0	2	0	1	1	0	0	0.48374918342354056
1	1	0	1	0	1	1	2	1	0	1	1	0.48374918342354056
2	2	0	2	0	1	1	2	2	1	1	1	0.48374918342354056
1	0	2	2	1	1	2	1	1	2	1	1	0.48374918342354056
1	1	0	0	2	2	0	2	1	2	1	1	0.48374918342354056
2	1	0	2	1	1	0	1	2	1	1	1	0.48374918342354056
1	1	0	0	0	2	2	1	0	0	1	1	0.48374918342354056
0	1	0	0	1	0	1	0	1	0	1	1	0.48374918342354056
1	2	2	0	2	0	1	1	2	1	0	0	0.48374918342354056
1	1	2	0	0	0	0	2	0	2	1	1	0.48374918342354056
0	0	1	2	2	1	1	1	2	1	1	1	0.48374918342354056
0	1	0	0	1	2	2	2	0	0	0	0	0.48374918342354056
1	2	0	0	2	0	2	1	0	1	0	0	0.48374918342354056
2	1	0	2	1	0	0	1	0	0	0	0	0.48374918342354056
