X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	2	0	1	0	2	0	1	1	0	0	0.25373081785503937
1	1	1	0	1	0	1	0	0	2	1	0	0.25373081785503937
0	2	2	1	1	0	1	0	2	0	1	1	0.29051400812417705
1	2	0	0	2	1	0	1	1	2	1	1	0.29051400812417705
2	2	2	1	1	1	1	0	0	0	1	0	0.29051400812417705
2	1	0	2	2	0	1	2	0	1	1	1	0.3025742468741321
1	1	1	1	0	0	2	0	0	1	1	0	0.3025742468741321
1	1	1	1	2	0	0	0	0	2	1	0	0.3025742468741321
2	1	0	0	2	2	1	0	2	1	1	0	0.318279425064234
2	1	1	0	0	2	0	0	2	0	1	0	0.318279425064234
2	2	0	2	2	0	2	0	0	2	0	0	0.318279425064234
2	1	1	1	2	2	2	2	2	0	1	1	0.318279425064234
2	1	0	2	2	0	1	1	1	0	1	1	0.3239915605713152
1	0	2	1	2	2	1	2	0	2	0	0	0.3324152973522315
0	1	0	0	1	1	2	2	2	1	0	0	0.3497962514965556
1	2	1	1	0	1	2	2	0	2	0	0	0.3497962514965556
2	2	2	0	1	0	0	1	1	1	1	1	0.3497962514965556
0	0	2	1	1	0	2	0	0	0	1	1	0.3497962514965556
0	0	1	0	0	2	0	2	0	1	1	1	0.3497962514965556
1	1	0	1	2	2	2	1	1	1	1	1	0.3497962514965556
0	1	2	1	0	0	0	1	1	0	1	1	0.3749565080792542
1	1	2	1	2	2	0	0	0	0	1	1	0.3749565080792542
1	2	1	0	0	0	0	2	1	2	0	0	0.3749565080792542
2	0	1	1	0	1	0	1	2	1	1	0	0.3749565080792542
1	1	0	1	0	1	0	1	1	1	1	0	0.3749565080792542
0	2	1	1	0	0	2	0	2	0	1	1	0.3749565080792542
1	2	2	0	1	2	1	1	1	0	1	0	0.40176965033176576
0	2	1	1	2	0	2	0	0	2	1	1	0.40176965033176576
2	1	2	2	2	1	2	1	2	2	1	1	0.40176965033176576
1	1	0	0	2	0	0	1	2	0	1	0	0.40176965033176576
1	0	1	1	2	2	2	2	2	2	0	0	0.40176965033176576
1	2	0	2	1	2	1	2	1	1	1	1	0.40176965033176576
2	2	2	0	0	2	1	2	2	2	0	0	0.40176965033176576
0	1	2	0	0	0	1	1	0	1	1	1	0.40176965033176576
2	1	0	2	0	2	1	0	0	2	0	0	0.40176965033176576
0	1	0	2	1	1	0	2	0	0	0	0	0.40176965033176576
2	1	0	0	2	0	1	1	1	2	1	1	0.40176965033176576
2	1	0	0	0	0	0	1	2	1	0	0	0.40176965033176576
2	2	0	1	2	2	2	1	0	1	1	1	0.40176965033176576
2	2	2	2	2	0	0	2	1	2	1	1	0.40176965033176576
0	1	1	1	2	1	2	1	0	1	0	0	0.40176965033176576
2	2	2	2	2	1	1	0	2	2	1	0	0.40176965033176576
2	2	0	1	1	0	1	2	1	2	1	1	0.40176965033176576
1	1	0	1	2	0	2	2	1	2	1	1	0.40176965033176576
0	0	0	0	1	1	1	0	0	1	1	1	0.40176965033176576
2	2	2	2	2	1	2	0	1	2	0	0	0.40176965033176576
0	1	1	1	2	1	0	2	2	2	0	0	0.40176965033176576
1	1	0	0	2	1	0	0	0	0	1	1	0.40176965033176576
2	0	0	2	2	0	2	0	0	1	0	0	0.40176965033176576
2	1	1	0	1	2	0	0	0	2	1	0	0.40176965033176576
0	2	2	0	0	2	0	0	0	1	1	1	0.40176965033176576
0	2	2	0	0	0	0	2	0	0	1	1	0.40792464137885476
0	2	0	2	0	2	2	2	2	2	1	1	0.40792464137885476
2	1	1	0	1	1	2	2	2	1	1	1	0.40792464137885476
2	2	1	2	2	1	2	1	0	2	1	1	0.40792464137885476
0	0	1	2	1	1	2	1	2	2	0	0	0.40792464137885476
1	0	0	2	1	2	2	1	1	0	0	0	0.40792464137885476
1	0	2	2	1	1	2	0	1	2	1	1	0.40792464137885476
2	2	1	2	1	2	1	2	2	2	1	1	0.40792464137885476
1	0	0	1	2	0	2	1	0	2	0	0	0.40792464137885476
0	0	0	1	1	0	1	2	0	2	0	0	0.40792464137885476
1	2	1	2	1	0	0	0	0	2	0	0	0.40792464137885476
0	1	2	1	0	0	0	1	2	2	1	1	0.40792464137885476
2	1	0	1	1	0	1	1	0	2	1	1	0.40792464137885476
0	1	2	2	1	1	0	1	1	0	0	0	0.40792464137885476
2	2	2	0	2	2	0	2	0	2	1	1	0.40792464137885476
2	0	2	0	0	1	0	0	0	1	0	0	0.40792464137885476
0	1	0	2	1	1	0	1	0	2	0	0	0.40792464137885476
