X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	1	0	2	1	2	2	0	0	0	1	0.03695408913803877
0	2	0	1	0	0	0	1	1	0	0	0	0.04256819779980703
2	0	0	0	0	2	0	0	1	2	1	1	0.04256819779980703
1	0	0	0	1	0	1	1	2	2	1	1	0.04256819779980703
2	2	2	2	0	0	0	0	2	2	1	1	0.04601153407811087
2	2	1	0	0	0	1	0	0	1	1	1	0.05088311036100035
1	0	2	0	0	0	1	2	1	0	1	1	0.05088311036100035
1	1	0	0	2	1	1	2	1	2	1	1	0.05314509844327164
2	2	0	0	2	1	0	2	1	0	1	1	0.05368701996786518
1	2	0	1	1	0	0	2	0	0	1	1	0.05368701996786518
1	0	1	2	2	0	0	2	1	2	1	1	0.05368701996786518
2	1	0	0	1	0	0	1	2	2	1	1	0.05368701996786518
2	2	0	0	2	0	0	1	2	0	1	1	0.05368701996786518
0	2	0	0	1	2	2	2	0	0	1	1	0.05368701996786518
0	0	1	1	2	2	1	1	0	2	1	1	0.06822841795656776
0	1	2	0	2	1	0	1	0	2	1	1	0.06822841795656776
2	2	2	1	0	1	1	0	2	0	0	0	0.06822841795656776
2	1	1	0	2	2	0	2	2	1	1	1	0.06822841795656776
0	2	2	2	2	2	1	2	2	0	1	1	0.06822841795656776
1	2	0	0	0	1	2	0	2	0	1	1	0.06822841795656776
1	1	0	1	0	2	0	2	2	0	0	0	0.06822841795656776
1	2	0	1	2	2	1	1	0	1	1	1	0.06822841795656776
0	1	0	0	0	0	0	0	0	1	1	1	0.06822841795656776
2	2	0	2	0	2	0	0	1	1	1	1	0.06822841795656776
2	1	0	1	2	2	2	2	0	2	1	1	0.06822841795656776
2	0	0	1	1	1	1	2	2	1	1	1	0.06822841795656776
0	0	1	0	2	0	2	2	0	2	1	1	0.06822841795656776
0	2	2	2	2	1	1	1	1	0	1	1	0.06822841795656776
0	1	1	0	2	0	1	2	0	2	1	1	0.06822841795656776
1	0	1	0	2	1	2	1	0	1	1	1	0.06822841795656776
1	1	1	0	1	2	1	1	2	0	1	1	0.06822841795656776
2	2	2	1	1	1	0	1	1	2	1	1	0.06822841795656776
1	1	1	2	2	2	2	0	2	2	1	1	0.06822841795656776
1	1	0	2	1	2	1	0	2	1	1	1	0.06822841795656776
1	2	0	1	2	2	2	2	1	0	1	1	0.06822841795656776
1	1	1	0	1	0	1	1	0	1	1	1	0.06822841795656776
0	0	2	1	1	2	2	0	1	1	1	1	0.06822841795656776
1	0	1	0	2	0	0	1	0	1	1	1	0.06822841795656776
2	1	0	2	0	1	1	1	1	0	0	0	0.06822841795656776
0	2	0	1	1	0	2	0	2	0	1	1	0.06988915488642877
2	1	0	2	0	1	1	0	0	2	1	1	0.06988915488642877
2	0	1	0	2	0	2	1	1	1	1	1	0.06988915488642877
0	2	2	0	2	2	1	2	0	2	1	1	0.06988915488642877
0	1	1	0	0	1	1	0	2	0	1	1	0.06988915488642877
1	1	2	1	1	0	0	0	2	0	1	1	0.06988915488642877
2	0	2	0	2	0	1	0	0	1	1	1	0.06988915488642877
0	2	1	0	1	0	1	0	2	1	1	1	0.06988915488642877
1	0	1	1	2	2	0	2	1	2	1	1	0.06988915488642877
1	2	0	0	1	0	1	0	2	2	1	1	0.07242514801359068
2	1	1	2	1	1	2	2	1	2	1	1	0.07242514801359068
0	1	0	0	1	0	2	2	0	0	1	1	0.07242514801359068
2	2	1	2	0	0	2	2	1	2	1	1	0.07242514801359068
0	2	2	0	0	0	1	2	0	2	1	1	0.07242514801359068
2	0	1	2	2	2	0	1	1	2	1	1	0.07242514801359068
0	1	1	2	1	0	0	0	2	2	1	1	0.07242514801359068
2	1	2	2	1	1	0	1	2	1	1	1	0.07242514801359068
0	1	2	1	2	2	1	0	0	2	1	1	0.07242514801359068
2	0	2	0	1	0	2	1	2	2	1	1	0.07242514801359068
1	0	0	0	0	2	1	0	0	0	1	1	0.07242514801359068
1	2	2	2	0	1	0	0	2	0	0	0	0.07242514801359068
0	0	0	1	0	2	0	0	1	0	0	0	0.07242514801359068
1	1	2	0	1	0	1	2	2	1	1	1	0.07242514801359068
0	0	0	0	2	1	0	1	2	1	1	1	0.07242514801359068
1	0	2	0	0	2	2	2	0	2	1	1	0.07242514801359068
0	0	2	1	0	1	1	0	0	1	0	0	0.07242514801359068
2	1	2	0	1	1	0	2	0	2	1	1	0.07242514801359068
1	0	1	1	2	1	0	2	0	1	1	1	0.07242514801359068
2	2	0	0	0	1	1	1	1	1	1	1	0.07242514801359068
0	1	2	1	0	0	0	0	1	0	0	0	0.07242514801359068
2	2	2	2	1	0	0	1	1	0	1	1	0.07242514801359068
0	2	1	0	1	0	0	0	0	1	1	1	0.07364670519736172
1	0	0	2	2	1	2	0	0	1	1	1	0.07364670519736172
1	1	0	1	0	1	1	1	2	1	1	1	0.07364670519736172
2	1	0	2	2	0	0	1	1	2	1	1	0.07364670519736172
1	1	2	1	0	0	1	1	0	0	0	0	0.07364670519736172
0	0	0	1	2	1	1	2	0	1	1	1	0.07364670519736172
2	2	1	1	2	0	2	2	0	2	1	1	0.07364670519736172
2	0	2	2	1	1	1	0	2	2	1	1	0.07364670519736172
0	2	1	2	2	2	1	2	2	2	1	1	0.07364670519736172
0	0	1	1	2	1	0	0	0	2	1	1	0.07364670519736172
1	1	0	2	2	0	1	0	0	2	1	1	0.07364670519736172
1	0	0	2	2	2	2	2	2	1	1	1	0.07364670519736172
2	2	2	1	2	1	2	2	1	1	1	1	0.07364670519736172
0	0	2	2	2	0	1	0	1	0	1	1	0.07364670519736172
0	0	0	2	0	2	1	2	1	2	1	1	0.07364670519736172
2	1	2	2	0	2	2	0	1	1	1	1	0.07364670519736172
1	1	2	0	0	2	0	2	2	2	1	1	0.07364670519736172
0	0	2	2	1	0	1	0	1	0	1	1	0.07364670519736172
0	2	2	2	2	2	0	2	2	2	1	1	0.07364670519736172
2	1	2	0	1	1	2	2	0	0	1	1	0.07364670519736172
2	2	0	0	2	0	1	2	1	1	1	1	0.07364670519736172
2	1	0	1	2	2	2	2	0	0	1	1	0.07364670519736172
2	2	1	1	1	0	2	1	0	1	1	1	0.07364670519736172
0	1	0	0	1	1	2	0	1	2	1	1	0.07723994750146557
0	0	0	1	2	1	0	2	1	0	1	1	0.07723994750146557
1	2	1	1	2	1	2	1	2	0	1	1	0.07723994750146557
0	1	2	0	2	2	0	1	2	2	1	1	0.07723994750146557
2	2	1	2	0	2	0	0	1	1	0	0	0.07723994750146557
1	1	1	2	0	0	1	0	0	0	0	0	0.07723994750146557
2	2	2	2	2	2	1	1	2	0	1	1	0.07723994750146557
0	0	0	1	1	0	0	0	2	2	1	1	0.07723994750146557
2	1	0	2	1	2	1	1	0	0	1	1	0.07723994750146557
1	0	2	0	1	2	2	2	2	0	1	1	0.07723994750146557
2	2	2	0	1	0	0	0	1	1	1	1	0.07723994750146557
1	1	0	2	0	0	2	2	2	1	1	1	0.07723994750146557
2	2	0	1	1	0	0	1	1	2	1	1	0.07723994750146557
0	1	1	1	1	2	0	2	1	1	1	1	0.07723994750146557
0	0	1	1	0	2	0	2	0	2	1	1	0.07723994750146557
0	0	0	1	0	1	0	1	1	2	1	1	0.07723994750146557
0	0	1	1	0	2	2	0	1	2	1	1	0.07723994750146557
1	0	2	1	2	2	2	1	2	2	1	1	0.07723994750146557
0	0	1	0	2	0	0	1	0	0	1	1	0.07723994750146557
2	0	2	2	0	2	2	2	0	1	0	0	0.07723994750146557
0	2	1	1	1	2	0	2	0	1	1	1	0.07723994750146557
1	2	0	1	2	0	2	2	0	2	1	1	0.07723994750146557
1	2	0	1	1	2	0	2	1	0	1	1	0.07723994750146557
2	0	2	2	1	0	1	1	0	2	1	1	0.07723994750146557
2	2	1	1	2	2	2	1	2	1	1	1	0.07723994750146557
2	2	0	2	1	0	1	2	1	2	1	1	0.07723994750146557
0	1	1	0	2	0	0	0	2	1	1	1	0.07723994750146557
1	2	2	0	1	0	2	1	1	1	1	1	0.07723994750146557
2	0	2	0	2	1	2	2	0	0	1	1	0.07723994750146557
2	1	0	2	0	0	1	2	2	0	0	0	0.07723994750146557
0	2	1	0	0	2	1	0	1	2	1	1	0.07723994750146557
0	1	0	2	2	1	2	2	0	2	1	1	0.07723994750146557
1	1	2	1	0	0	2	2	0	1	1	1	0.07723994750146557
2	1	2	2	0	1	1	0	0	1	1	1	0.07723994750146557
1	1	2	0	2	1	0	0	2	1	1	1	0.07723994750146557
2	2	0	2	1	0	2	0	0	0	1	1	0.07723994750146557
0	1	2	0	0	0	0	2	1	2	1	1	0.07723994750146557
1	1	2	2	2	0	2	0	2	1	1	1	0.07723994750146557
2	0	2	0	0	2	1	0	1	1	1	1	0.07723994750146557
0	2	0	2	1	1	2	0	2	0	1	1	0.07723994750146557
1	0	2	1	0	0	0	2	1	1	0	0	0.07723994750146557
2	0	2	0	2	2	2	1	2	1	1	1	0.07723994750146557
0	2	1	0	1	1	0	1	0	1	1	1	0.07723994750146557
0	0	0	1	1	1	0	2	2	0	1	1	0.07723994750146557
1	0	1	2	2	1	1	1	2	0	1	1	0.07723994750146557
1	1	0	2	2	2	0	1	0	1	1	1	0.07723994750146557
1	2	2	0	2	1	1	1	2	0	1	1	0.07723994750146557
1	0	0	1	1	1	2	0	0	2	1	1	0.07723994750146557
2	0	0	1	2	0	0	0	1	2	1	1	0.07723994750146557
2	0	2	2	0	1	0	2	2	0	0	0	0.07723994750146557
0	0	1	1	1	2	2	1	1	0	1	1	0.07723994750146557
2	2	2	1	2	1	1	1	0	0	1	1	0.07723994750146557
0	2	0	1	0	2	2	2	1	0	0	0	0.07723994750146557
1	2	2	0	0	1	1	1	1	1	1	1	0.07723994750146557
2	0	2	0	2	0	2	0	0	2	1	1	0.07723994750146557
1	2	2	2	2	2	1	1	0	1	1	1	0.07723994750146557
2	0	0	1	1	0	0	0	1	0	1	1	0.07723994750146557
2	1	1	1	2	2	2	2	1	2	1	1	0.07723994750146557
2	2	2	0	1	2	1	2	1	1	1	1	0.07723994750146557
1	1	1	2	2	0	0	1	1	2	1	1	0.07723994750146557
1	2	2	1	0	1	2	1	2	1	1	1	0.07723994750146557
0	1	0	1	2	2	1	1	2	2	1	1	0.07723994750146557
1	2	2	0	2	2	2	2	0	2	1	1	0.07723994750146557
1	0	2	0	1	0	0	2	0	1	1	1	0.07723994750146557
1	1	2	0	0	1	2	1	0	1	1	1	0.07723994750146557
1	0	2	1	0	1	2	1	1	1	0	0	0.07723994750146557
0	1	1	2	2	0	2	0	2	2	1	1	0.07723994750146557
0	0	2	1	2	2	2	1	1	2	1	1	0.07723994750146557
2	1	2	1	1	0	1	0	0	1	1	1	0.07723994750146557
2	1	2	2	2	1	2	0	0	0	1	1	0.07723994750146557
0	1	1	1	0	0	1	1	2	2	1	1	0.07723994750146557
2	2	1	2	0	0	0	1	0	0	0	0	0.07723994750146557
1	1	1	0	2	1	0	2	1	0	1	1	0.07723994750146557
1	2	2	0	0	0	0	0	0	2	1	1	0.07723994750146557
0	0	2	1	0	1	1	2	0	0	0	0	0.07723994750146557
0	1	1	2	0	0	2	1	2	0	0	0	0.07723994750146557
1	2	2	0	1	1	0	1	2	0	1	1	0.07723994750146557
1	2	0	0	1	1	0	2	1	0	1	1	0.07723994750146557
1	2	0	2	1	1	2	0	2	2	1	1	0.07723994750146557
0	0	0	2	1	0	0	0	0	2	1	1	0.07723994750146557
